article,simpSent,standSent,typeOfMatch
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .","ACF Fiorentina ( Associazione Calcio Fiorentina e Florentia Viola ) , often called just and friendly Fiorentina , is an Italian professional football club from Florence , Tuscany .","3
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .",Founded in 1926 .,"0
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .","Fiorentina have won Serie A twice , first in 1955\/56 then again in 1968\/69 , as well as winning six Coppa Italia trophies .","0
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .","On the European stage Fiorentina have won the UEFA Cup Winners ' Cup in 1960\/61 , they finished runners-up in the UEFA Cup 1989\/90 and they also came close to winning the biggest European prize , finishing as runners-up in the European Cup during 1956\/57 .","0
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .",1926-2002 AC Fiorentina .,"0
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .",2002-2003 Florentia Viola .,"0
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .",2003-present ACF Fiorentina .,"0
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .",Fiorentina is known by the nickname La viola ; a reference to their distinctive purple colors .,"0
"
,,,
A.C.F._Fiorentina,"Founded by a merger in 1926 ( refounded in 2002 ) , Fiorentina have played at the top level of Italian football for the majority of their existence ; only four clubs have played in more Serie A seasons .","ACF Fiorentina ( Associazione Calcio Fiorentina e Florentia Viola ) , often called just and friendly Fiorentina , is an Italian professional football club from Florence , Tuscany .","0
"
,,,
A.C.F._Fiorentina,"Founded by a merger in 1926 ( refounded in 2002 ) , Fiorentina have played at the top level of Italian football for the majority of their existence ; only four clubs have played in more Serie A seasons .",Founded in 1926 .,"2
"
,,,
A.C.F._Fiorentina,"Founded by a merger in 1926 ( refounded in 2002 ) , Fiorentina have played at the top level of Italian football for the majority of their existence ; only four clubs have played in more Serie A seasons .","Fiorentina have won Serie A twice , first in 1955\/56 then again in 1968\/69 , as well as winning six Coppa Italia trophies .","0
"
,,,
A.C.F._Fiorentina,"Founded by a merger in 1926 ( refounded in 2002 ) , Fiorentina have played at the top level of Italian football for the majority of their existence ; only four clubs have played in more Serie A seasons .","On the European stage Fiorentina have won the UEFA Cup Winners ' Cup in 1960\/61 , they finished runners-up in the UEFA Cup 1989\/90 and they also came close to winning the biggest European prize , finishing as runners-up in the European Cup during 1956\/57 .","0
"
,,,
A.C.F._Fiorentina,"Founded by a merger in 1926 ( refounded in 2002 ) , Fiorentina have played at the top level of Italian football for the majority of their existence ; only four clubs have played in more Serie A seasons .",1926-2002 AC Fiorentina .,"0
"
,,,
A.C.F._Fiorentina,"Founded by a merger in 1926 ( refounded in 2002 ) , Fiorentina have played at the top level of Italian football for the majority of their existence ; only four clubs have played in more Serie A seasons .",2002-2003 Florentia Viola .,"0
"
,,,
article,simpSent,standSent,typeOfMatch
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .","ACF Fiorentina ( Associazione Calcio Fiorentina e Florentia Viola ) , often called just and friendly Fiorentina , is an Italian professional football club from Florence , Tuscany .","3
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .",Founded in 1926 .,"0
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .","Fiorentina have won Serie A twice , first in 1955\/56 then again in 1968\/69 , as well as winning six Coppa Italia trophies .","0
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .","On the European stage Fiorentina have won the UEFA Cup Winners ' Cup in 1960\/61 , they finished runners-up in the UEFA Cup 1989\/90 and they also came close to winning the biggest European prize , finishing as runners-up in the European Cup during 1956\/57 .","0
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .",1926-2002 AC Fiorentina .,"0
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .",2002-2003 Florentia Viola .,"0
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .",2003-present ACF Fiorentina .,"0
"
,,,
A.C.F._Fiorentina,"ACF Fiorentina , commonly referred to as simply Fiorentina , is a professional Italian football club from Florence , Tuscany .",Fiorentina is known by the nickname La viola ; a reference to their distinctive purple colors .,"0
"
,,,
A.C.F._Fiorentina,"Founded by a merger in 1926 ( refounded in 2002 ) , Fiorentina have played at the top level of Italian football for the majority of their existence ; only four clubs have played in more Serie A seasons .","ACF Fiorentina ( Associazione Calcio Fiorentina e Florentia Viola ) , often called just and friendly Fiorentina , is an Italian professional football club from Florence , Tuscany .","0
"
,,,
A.C.F._Fiorentina,"Founded by a merger in 1926 ( refounded in 2002 ) , Fiorentina have played at the top level of Italian football for the majority of their existence ; only four clubs have played in more Serie A seasons .",Founded in 1926 .,"2
"
,,,
A.C.F._Fiorentina,"Founded by a merger in 1926 ( refounded in 2002 ) , Fiorentina have played at the top level of Italian football for the majority of their existence ; only four clubs have played in more Serie A seasons .","Fiorentina have won Serie A twice , first in 1955\/56 then again in 1968\/69 , as well as winning six Coppa Italia trophies .","0
"
,,,
A.C.F._Fiorentina,"Founded by a merger in 1926 ( refounded in 2002 ) , Fiorentina have played at the top level of Italian football for the majority of their existence ; only four clubs have played in more Serie A seasons .","On the European stage Fiorentina have won the UEFA Cup Winners ' Cup in 1960\/61 , they finished runners-up in the UEFA Cup 1989\/90 and they also came close to winning the biggest European prize , finishing as runners-up in the European Cup during 1956\/57 .","0
"
,,,
A.C.F._Fiorentina,"Founded by a merger in 1926 ( refounded in 2002 ) , Fiorentina have played at the top level of Italian football for the majority of their existence ; only four clubs have played in more Serie A seasons .",1926-2002 AC Fiorentina .,"0
"
,,,
A.C.F._Fiorentina,"Founded by a merger in 1926 ( refounded in 2002 ) , Fiorentina have played at the top level of Italian football for the majority of their existence ; only four clubs have played in more Serie A seasons .",2002-2003 Florentia Viola .,"0
"
,,,
entina,"A reversal of trends took place in the ongoing 2009-10 season , as the club saw a dip in their Serie A form , yet proved itself to be a surprise dark horse in Europe .","On the European stage Fiorentina have won the UEFA Cup Winners ' Cup in 1960\/61 , they finished runners-up in the UEFA Cup 1989\/90 and they also came close to winning the biggest European prize , finishing as runners-up in the European Cup during 1956\/57 .","0
"
,,,
A.C.F._Fiorentina,"A reversal of trends took place in the ongoing 2009-10 season , as the club saw a dip in their Serie A form , yet proved itself to be a surprise dark horse in Europe .",1926-2002 AC Fiorentina .,"0
"
,,,
A.C.F._Fiorentina,"A reversal of trends took place in the ongoing 2009-10 season , as the club saw a dip in their Serie A form , yet proved itself to be a surprise dark horse in Europe .",2002-2003 Florentia Viola .,"0
"
,,,
A.C.F._Fiorentina,"A reversal of trends took place in the ongoing 2009-10 season , as the club saw a dip in their Serie A form , yet proved itself to be a surprise dark horse in Europe .",2003-present ACF Fiorentina .,"0
"
,,,
A.C.F._Fiorentina,"A reversal of trends took place in the ongoing 2009-10 season , as the club saw a dip in their Serie A form , yet proved itself to be a surprise dark horse in Europe .",Fiorentina is known by the nickname La viola ; a reference to their distinctive purple colors .,"0
"
,,,
A.C.F._Fiorentina,"Fiorentina started their domestic campaign strongly , trailing leaders Internazionale along with Juventus and Sampdoria earlier in the season , but steadily lost momentum and slipped to mid-table positions at the latter half of the season .","ACF Fiorentina ( Associazione Calcio Fiorentina e Florentia Viola ) , often called just and friendly Fiorentina , is an Italian professional football club from Florence , Tuscany .","0
"
,,,
A.C.F._Fiorentina,"Fiorentina started their domestic campaign strongly , trailing leaders Internazionale along with Juventus and Sampdoria earlier in the season , but steadily lost momentum and slipped to mid-table positions at the latter half of the season .",Founded in 1926 .,"0
"
,,,
A.C.F._Fiorentina,"Fiorentina started their domestic campaign strongly , trailing leaders Internazionale along with Juventus and Sampdoria earlier in the season , but steadily lost momentum and slipped to mid-table positions at the latter half of the season .","Fiorentina have won Serie A twice , first in 1955\/56 then again in 1968\/69 , as well as winning six Coppa Italia trophies .","0
"
,,,
A.C.F._Fiorentina,"Fiorentina started their domestic campaign strongly , trailing leaders Internazionale along with Juventus and Sampdoria earlier in the season , but steadily lost momentum and slipped to mid-table positions at the latter half of the season .","On the European stage Fiorentina have won the UEFA Cup Winners ' Cup in 1960\/61 , they finished runners-up in the UEFA Cup 1989\/90 and they also came close to winning the biggest European prize , finishing as runners-up in the European Cup during 1956\/57 .","0
"
,,,
A.C.F._Fiorentina,"Fiorentina started their domestic campaign strongly , trailing leaders Internazionale along with Juventus and Sampdoria earlier in the season , but steadily lost momentum and slipped to mid-table positions at the latter half of the season .",1926-2002 AC Fiorentina .,"0
"
,,,
A.C.F._Fiorentina,"Fiorentina started their domestic campaign strongly , trailing leaders Internazionale along with Juventus and Sampdoria earlier in the season , but steadily lost momentum and slipped to mid-table positions at the latter half of the season .",2002-2003 Florentia Viola .,"0
"
,,,
A.C.F._Fiorentina,"Fiorentina started their domestic campaign strongly , trailing leaders Internazionale along with Juventus and Sampdoria earlier in the season , but steadily lost momentum and slipped to mid-table positions at the latter half of the season .",2003-present ACF Fiorentina .,"0
"
,,,
Fiorentina,Note : Flags indicate national team as has been defined under FIFA eligibility rules .,Fiorentina is known by the nickname La viola ; a reference to their distinctive purple colors .,"0
"
,,,
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,"ACF Fiorentina ( Associazione Calcio Fiorentina e Florentia Viola ) , often called just and friendly Fiorentina , is an Italian professional football club from Florence , Tuscany .","0
"
,,,
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,Founded in 1926 .,"0
"
,,,
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,"Fiorentina have won Serie A twice , first in 1955\/56 then again in 1968\/69 , as well as winning six Coppa Italia trophies .","0
"
,,,
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,"On the European stage Fiorentina have won the UEFA Cup Winners ' Cup in 1960\/61 , they finished runners-up in the UEFA Cup 1989\/90 and they also came close to winning the biggest European prize , finishing as runners-up in the European Cup during 1956\/57 .","0
"
,,,
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,1926-2002 AC Fiorentina .,"0
"
,,,
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,2002-2003 Florentia Viola .,"0
"
,,,
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,2003-present ACF Fiorentina .,"0
"
,,,
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,Fiorentina is known by the nickname La viola ; a reference to their distinctive purple colors .,"0
"
